route,payload_size_bytes,total_queries,sleep_seconds,workers,min_worker_elapsed_time_ms,max_worker_elapsed_time_ms,avg_worker_elapsed_time_ms,stdev_worker_elapsed_time_ms,min_latency_ms,max_latency_ms,avg_latency_ms,stdev_latency_ms,qps
GET,10000000,800,0,8,4478.912906,4497.062659000001,4490.963009499999,6.7091639359529625,26.48927,63.963773,44.909630095,4.375820840101302,177.89389667474495
GET,10000000,1600,0,16,10112.327904,10171.291211000003,10141.4026125625,21.10265624895941,66.893968,151.119421,101.414026125625,8.764493044801817,157.30549512432
GET,10000000,3200,0,32,19934.313721,20249.508120999995,20088.46005,58.826265615699,150.684938,261.897256,200.88460049999998,10.357647460230393,158.02852992174175
GET,10000000,6400,0,64,40602.73488200002,41169.80092100001,40856.80960840624,180.5495046148619,86.551748,514.524022,408.5680960840625,31.87368250836911,155.45375145925152
GET,10000000,12800,0,128,75031.581921,76744.30543499999,76125.55960277343,423.2353767260756,96.466088,920.98374,761.2555960277344,49.036643279290736,166.78761932168632
SET,1000,100,0,1,283.7256829999999,283.7256829999999,283.7256829999999,0,2.654563,5.432182,2.837256829999999,0.2962255822101435,352.4531122549101
SET,1000,200,0,2,278.7989310000001,279.29071500000003,279.04482300000006,0.34774380127900173,2.641098,6.584218,2.790448230000001,0.4146247296970042,716.0997099384417
SET,1000,400,0,4,414.3973320000001,452.19269500000007,432.5418445,19.282216039950196,3.188936,36.507597,4.325418445,2.3053270258358682,884.5786418553266
SET,1000,800,0,8,857.4098270000003,868.0557370000001,860.6384517500002,3.69591192667756,4.942224,25.265411,8.606384517499999,1.3761301857316826,921.5998073635217
SET,1000,1600,0,16,1547.6724839999997,1602.6298720000002,1580.5557710624998,22.15533565808744,12.320242,37.005042,15.805557710625001,2.323670757394089,998.3590272177329
SET,1000,3200,0,32,3159.688749999999,3297.504785000001,3249.79341846875,33.19794477755888,10.134326,76.162654,32.4979341846875,5.585358886270951,970.4307373734407
